group,question,dimension
1,"We have made AI tools available to our back office teams in areas such as accounting, IT, procurment, and legal functions",Back office
1,We have mandated the use of AI tools for our back office teams,Back office
1,There is extensive use of AI tools in our back office operations,Back office
2,We have made AI tools available to our client facing sales and delivery teams,Client operations
2,We have mandated the use of AI tools for our sales and delivery teams,Client operations
2,There is extensive use of AI tools in our client-facing operations,Client operations
3,We have made AI tools available to support employee holistic health,Holistic health use
3,The AI tools supporting employee holistic health are widely used,Holistic health use
3,We have seen benefits from the use of employee holistic health AI tools,Holistic health use
4,We have made educational materials about AI available to our teams,Education
4,We have mandated live educational sessions on AI,Education
4,We have included content on implications for our employees' lives and jobs in our education,Education
